login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
mschlappa,https://github.com/mschlappa,0.0,0.0,0.0,6.0,0.0,13.0,662150.0,0
s0undt3ch,https://github.com/s0undt3ch,145.0,20.0,7.25,36.0,1445.0,8.0,945821.0,0
chunger,https://github.com/chunger,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
adotcheva,https://github.com/adotcheva,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bunnykins,https://github.com/bunnykins,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gmc74,https://github.com/gmc74,3.0,0.0,0.0,2.0,0.0,0.0,148.0,0
bprotas,https://github.com/bprotas,9.0,7.0,1.2857142857142858,36.0,0.0,4.0,512786.0,0
jamesstiff,https://github.com/jamesstiff,4.0,7.0,0.5714285714285714,3.0,243.0,0.0,2346.0,0
thatsmithere,https://github.com/thatsmithere,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Altrius,https://github.com/Altrius,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
eisebs,https://github.com/eisebs,3.0,0.0,0.0,1.0,0.0,1.0,120.0,0
chanks,https://github.com/chanks,57.0,2.0,28.5,49.0,6.0,71.0,316772.0,0
ferentchak,https://github.com/ferentchak,18.0,15.0,1.2,23.0,0.0,7.0,1122292.0,0
bucketbrigade,https://github.com/bucketbrigade,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rrader,https://github.com/rrader,46.0,27.0,1.7037037037037035,147.0,122.0,20.0,328110.0,0
iTExxx,https://github.com/iTExxx,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
raimundohamilton,https://github.com/raimundohamilton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
heidner,https://github.com/heidner,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sergeych,https://github.com/sergeych,33.0,1.0,33.0,44.0,59.0,64.0,35204.0,0
17chris,https://github.com/17chris,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dy,https://github.com/dy,510.0,376.0,1.3563829787234043,155.0,1555.0,215.0,50511.0,0
echealth,https://github.com/echealth,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
freyandras,https://github.com/freyandras,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
jonshamir,https://github.com/jonshamir,11.0,5.0,2.2,30.0,1072.0,66.0,12687407.0,0
dorionc,https://github.com/dorionc,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0
liweichang,https://github.com/liweichang,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
brooksw,https://github.com/brooksw,4.0,1.0,4.0,5.0,0.0,0.0,894.0,0
imdave4me,https://github.com/imdave4me,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aduvvuri,https://github.com/aduvvuri,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
jgreywolf,https://github.com/jgreywolf,10.0,0.0,0.0,12.0,904.0,3.0,65655.0,0
